"experiment","description","EFOType","EFOValue"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10311>","Transcription profiling of human osteoblast transcriptome in resting and induced primary cells","time","24 hours"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10311>","Transcription profiling of human osteoblast transcriptome in resting and induced primary cells","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10311>","Transcription profiling of human osteoblast transcriptome in resting and induced primary cells","age","64 years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10311>","Transcription profiling of human osteoblast transcriptome in resting and induced primary cells","Compound treatment","bone morphogenetic protein 2"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10311>","Transcription profiling of human osteoblast transcriptome in resting and induced primary cells","time","2 hours"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10311>","Transcription profiling of human osteoblast transcriptome in resting and induced primary cells","Compound treatment","dexamethasone"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10591>","Transcription profiling by array of human HepG2 cells with overexpression of TMPRSS6 or its mutant version","disease","liver carcinoma"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10591>","Transcription profiling by array of human HepG2 cells with overexpression of TMPRSS6 or its mutant version","genotype","TMPRSS6 mutant"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10591>","Transcription profiling by array of human HepG2 cells with overexpression of TMPRSS6 or its mutant version","genetic modification","transfection"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10591>","Transcription profiling by array of human HepG2 cells with overexpression of TMPRSS6 or its mutant version","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10591>","Transcription profiling by array of human HepG2 cells with overexpression of TMPRSS6 or its mutant version","cell line","HepG2"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10591>","Transcription profiling by array of human HepG2 cells with overexpression of TMPRSS6 or its mutant version","genotype","TMPRSS6 wild type"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10591>","Transcription profiling by array of human HepG2 cells with overexpression of TMPRSS6 or its mutant version","genotype","empty vector"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10595>","Transcription profiling by array of human bone marrow stromal cells lines cultured with monocytes to investigate interactions in the hematopoietic microenvironment","organism part","bone marrow"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10595>","Transcription profiling by array of human bone marrow stromal cells lines cultured with monocytes to investigate interactions in the hematopoietic microenvironment","cell line","HS5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10595>","Transcription profiling by array of human bone marrow stromal cells lines cultured with monocytes to investigate interactions in the hematopoietic microenvironment","growth condition","CD14-postive monocytes"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10595>","Transcription profiling by array of human bone marrow stromal cells lines cultured with monocytes to investigate interactions in the hematopoietic microenvironment","cell type","stromal cell"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10595>","Transcription profiling by array of human bone marrow stromal cells lines cultured with monocytes to investigate interactions in the hematopoietic microenvironment","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10595>","Transcription profiling by array of human bone marrow stromal cells lines cultured with monocytes to investigate interactions in the hematopoietic microenvironment","growth condition","no CD14-positive monocytes"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10595>","Transcription profiling by array of human bone marrow stromal cells lines cultured with monocytes to investigate interactions in the hematopoietic microenvironment","cell line","HS27a"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10289>","Transcripton profiling by array of human wild type and siRNA silenced SDHB HepB3 cells","cell line","Hep3B"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10289>","Transcripton profiling by array of human wild type and siRNA silenced SDHB HepB3 cells","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10289>","Transcripton profiling by array of human wild type and siRNA silenced SDHB HepB3 cells","RNAi","control"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10289>","Transcripton profiling by array of human wild type and siRNA silenced SDHB HepB3 cells","disease","hepatocellular carcinoma"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10289>","Transcripton profiling by array of human wild type and siRNA silenced SDHB HepB3 cells","genetic modification","stable transfection"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10289>","Transcripton profiling by array of human wild type and siRNA silenced SDHB HepB3 cells","RNAi","SDHB siRNA"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10406>","Transcription profiling of human sinus mucosa from cystic fibrosis, chronic rhinosinusitis patients and controls","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10406>","Transcription profiling of human sinus mucosa from cystic fibrosis, chronic rhinosinusitis patients and controls","disease","chronic rhinosinusitis"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10406>","Transcription profiling of human sinus mucosa from cystic fibrosis, chronic rhinosinusitis patients and controls","organism part","sinus mucosa"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10406>","Transcription profiling of human sinus mucosa from cystic fibrosis, chronic rhinosinusitis patients and controls","disease","normal"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10406>","Transcription profiling of human sinus mucosa from cystic fibrosis, chronic rhinosinusitis patients and controls","disease","cystic fibrosis and chronic rhinosinusitis"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","organism part","peripheral blood"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","Compound treatment","N-methyl-N'-nitro-N-nitrosoguanidine"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15236"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell type","lymphoblastoid"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","Compound treatment","none"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15036"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15510"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15590"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15385"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15226"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15216"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15144"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15268"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15227"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15213"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15056"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15223"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15242"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15245"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","MT1"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15072"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15038"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15029"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15215"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15061"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15386"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","TK6"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15221"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15324"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10313>","Transcription profiling of human lymphoblastoid cell lines that are part of the NIHPDR exposed to N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) to identify novel predictors of resistance to DNA damaging agents","cell line","Coriell GM15224"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10315>","Transcription profiling of human MSC isolated from human bone marrow aspirates differentiated to chondrocytes with BMP2 or TGFbeta-3, vs undifferentiated MSC sampled at multiple time points","cell type","mesenchymal stem cell"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10315>","Transcription profiling of human MSC isolated from human bone marrow aspirates differentiated to chondrocytes with BMP2 or TGFbeta-3, vs undifferentiated MSC sampled at multiple time points","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10315>","Transcription profiling of human MSC isolated from human bone marrow aspirates differentiated to chondrocytes with BMP2 or TGFbeta-3, vs undifferentiated MSC sampled at multiple time points","passage","3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10315>","Transcription profiling of human MSC isolated from human bone marrow aspirates differentiated to chondrocytes with BMP2 or TGFbeta-3, vs undifferentiated MSC sampled at multiple time points","individual","donor 6"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10315>","Transcription profiling of human MSC isolated from human bone marrow aspirates differentiated to chondrocytes with BMP2 or TGFbeta-3, vs undifferentiated MSC sampled at multiple time points","organism part","bone marrow"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10315>","Transcription profiling of human MSC isolated from human bone marrow aspirates differentiated to chondrocytes with BMP2 or TGFbeta-3, vs undifferentiated MSC sampled at multiple time points","time","3 days"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10315>","Transcription profiling of human MSC isolated from human bone marrow aspirates differentiated to chondrocytes with BMP2 or TGFbeta-3, vs undifferentiated MSC sampled at multiple time points","growth condition","TGFb3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10315>","Transcription profiling of human MSC isolated from human bone marrow aspirates differentiated to chondrocytes with BMP2 or TGFbeta-3, vs undifferentiated MSC sampled at multiple time points","growth condition","control"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10315>","Transcription profiling of human MSC isolated from human bone marrow aspirates differentiated to chondrocytes with BMP2 or TGFbeta-3, vs undifferentiated MSC sampled at multiple time points","time","0 days"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10315>","Transcription profiling of human MSC isolated from human bone marrow aspirates differentiated to chondrocytes with BMP2 or TGFbeta-3, vs undifferentiated MSC sampled at multiple time points","individual","donor 3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10315>","Transcription profiling of human MSC isolated from human bone marrow aspirates differentiated to chondrocytes with BMP2 or TGFbeta-3, vs undifferentiated MSC sampled at multiple time points","growth condition","BMP2"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10315>","Transcription profiling of human MSC isolated from human bone marrow aspirates differentiated to chondrocytes with BMP2 or TGFbeta-3, vs undifferentiated MSC sampled at multiple time points","individual","donor 2"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10315>","Transcription profiling of human MSC isolated from human bone marrow aspirates differentiated to chondrocytes with BMP2 or TGFbeta-3, vs undifferentiated MSC sampled at multiple time points","time","21 days"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10315>","Transcription profiling of human MSC isolated from human bone marrow aspirates differentiated to chondrocytes with BMP2 or TGFbeta-3, vs undifferentiated MSC sampled at multiple time points","individual","donor 4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10315>","Transcription profiling of human MSC isolated from human bone marrow aspirates differentiated to chondrocytes with BMP2 or TGFbeta-3, vs undifferentiated MSC sampled at multiple time points","time","1 day"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10315>","Transcription profiling of human MSC isolated from human bone marrow aspirates differentiated to chondrocytes with BMP2 or TGFbeta-3, vs undifferentiated MSC sampled at multiple time points","time","7 days"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10315>","Transcription profiling of human MSC isolated from human bone marrow aspirates differentiated to chondrocytes with BMP2 or TGFbeta-3, vs undifferentiated MSC sampled at multiple time points","individual","donor 1"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10315>","Transcription profiling of human MSC isolated from human bone marrow aspirates differentiated to chondrocytes with BMP2 or TGFbeta-3, vs undifferentiated MSC sampled at multiple time points","individual","donor 5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10696>","Transcription profiling by array of human wild type and gefitinib-resistant A431 cancer cells","phenotype","gefitinib resistant"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10696>","Transcription profiling by array of human wild type and gefitinib-resistant A431 cancer cells","cell line","A431_GR"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10696>","Transcription profiling by array of human wild type and gefitinib-resistant A431 cancer cells","age","85 years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10696>","Transcription profiling by array of human wild type and gefitinib-resistant A431 cancer cells","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10696>","Transcription profiling by array of human wild type and gefitinib-resistant A431 cancer cells","sex","female"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10696>","Transcription profiling by array of human wild type and gefitinib-resistant A431 cancer cells","disease","epidermoid carcinoma"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10696>","Transcription profiling by array of human wild type and gefitinib-resistant A431 cancer cells","organism part","epidermis"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10696>","Transcription profiling by array of human wild type and gefitinib-resistant A431 cancer cells","phenotype","gefitinib sensitive"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10696>","Transcription profiling by array of human wild type and gefitinib-resistant A431 cancer cells","cell line","A431_wt"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10718>","Transcription profiling of human NHBE cells exposed to whole cigarette smoke (FULL flavor) - TIME series","organism part","bronchus"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10718>","Transcription profiling of human NHBE cells exposed to whole cigarette smoke (FULL flavor) - TIME series","disease","normal"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10718>","Transcription profiling of human NHBE cells exposed to whole cigarette smoke (FULL flavor) - TIME series","stimulus","vehicle"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10718>","Transcription profiling of human NHBE cells exposed to whole cigarette smoke (FULL flavor) - TIME series","cell type","epithelial cell"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10718>","Transcription profiling of human NHBE cells exposed to whole cigarette smoke (FULL flavor) - TIME series","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10718>","Transcription profiling of human NHBE cells exposed to whole cigarette smoke (FULL flavor) - TIME series","time","24 hours"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10718>","Transcription profiling of human NHBE cells exposed to whole cigarette smoke (FULL flavor) - TIME series","time","4 hours"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10718>","Transcription profiling of human NHBE cells exposed to whole cigarette smoke (FULL flavor) - TIME series","stimulus","cigarette smoke"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10718>","Transcription profiling of human NHBE cells exposed to whole cigarette smoke (FULL flavor) - TIME series","time","2 hours"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10718>","Transcription profiling of human NHBE cells exposed to whole cigarette smoke (FULL flavor) - TIME series","time","1 hour"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10444>","Transcription profiling of human dental pulp stem cells in long term culture","individual","DP31"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10444>","Transcription profiling of human dental pulp stem cells in long term culture","cell type","dental pulp stem cell"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10444>","Transcription profiling of human dental pulp stem cells in long term culture","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10444>","Transcription profiling of human dental pulp stem cells in long term culture","age","14 years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10444>","Transcription profiling of human dental pulp stem cells in long term culture","passage","4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10444>","Transcription profiling of human dental pulp stem cells in long term culture","individual","DP28"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10444>","Transcription profiling of human dental pulp stem cells in long term culture","passage","10"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10444>","Transcription profiling of human dental pulp stem cells in long term culture","individual","DP2"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10479>","Transcription profiling by array of human HUVECs induced by bg-CAT","cell type","HUVEC cell"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10479>","Transcription profiling by array of human HUVECs induced by bg-CAT","passage","2"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10479>","Transcription profiling by array of human HUVECs induced by bg-CAT","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10479>","Transcription profiling by array of human HUVECs induced by bg-CAT","Compound treatment","PBS"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10479>","Transcription profiling by array of human HUVECs induced by bg-CAT","Compound treatment","bg-CAT"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10746>","Transcription profiling by array of human patients with acute myeloid leukemia and chemotherapy-induced oral mucositis","clinical treatment","two days post-chemotherapy"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10746>","Transcription profiling by array of human patients with acute myeloid leukemia and chemotherapy-induced oral mucositis","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10746>","Transcription profiling by array of human patients with acute myeloid leukemia and chemotherapy-induced oral mucositis","individual","BREN52"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10746>","Transcription profiling by array of human patients with acute myeloid leukemia and chemotherapy-induced oral mucositis","organism part","buccal mucosa"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10746>","Transcription profiling by array of human patients with acute myeloid leukemia and chemotherapy-induced oral mucositis","disease","acute myeloid leukemia"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10746>","Transcription profiling by array of human patients with acute myeloid leukemia and chemotherapy-induced oral mucositis","clinical treatment","pre-chemotherapy"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10746>","Transcription profiling by array of human patients with acute myeloid leukemia and chemotherapy-induced oral mucositis","individual","BREN51"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10746>","Transcription profiling by array of human patients with acute myeloid leukemia and chemotherapy-induced oral mucositis","individual","BREN42"
